split,value,class_id,class_name,source_image,source_label,crop_path,source_width,source_height,crop_width,crop_height
test,30,46,speed-limit-30,test/images/00001_00023_00019_png_jpg.rf.14197a02f3c040a2b6453b374c1740ca.jpg,test/labels/00001_00023_00019_png_jpg.rf.14197a02f3c040a2b6453b374c1740ca.txt,crops/test/30/00001_00023_00019_png_jpg.rf.14197a02f3c040a2b6453b374c1740ca__box0.jpg,640,608,524,524
test,30,46,speed-limit-30,test/images/00001_00024_00013_png_jpg.rf.e06810d9b979e726296728757ef723b5.jpg,test/labels/00001_00024_00013_png_jpg.rf.e06810d9b979e726296728757ef723b5.txt,crops/test/30/00001_00024_00013_png_jpg.rf.e06810d9b979e726296728757ef723b5__box0.jpg,640,594,511,511
test,50,49,speed-limit-50,test/images/00002_00005_00004_png_jpg.rf.0400802311b070862c08e8d7039e9099.jpg,test/labels/00002_00005_00004_png_jpg.rf.0400802311b070862c08e8d7039e9099.txt,crops/test/50/00002_00005_00004_png_jpg.rf.0400802311b070862c08e8d7039e9099__box0.jpg,620,640,497,497
test,60,50,speed-limit-60,test/images/00003_00004_00027_png_jpg.rf.0e31c43240d6683bb9ae266f65505a2c.jpg,test/labels/00003_00004_00027_png_jpg.rf.0e31c43240d6683bb9ae266f65505a2c.txt,crops/test/60/00003_00004_00027_png_jpg.rf.0e31c43240d6683bb9ae266f65505a2c__box0.jpg,619,640,617,617
test,60,50,speed-limit-60,test/images/00003_00031_00016_png_jpg.rf.ed12e57cb9b51d5736360307a8520176.jpg,test/labels/00003_00031_00016_png_jpg.rf.ed12e57cb9b51d5736360307a8520176.txt,crops/test/60/00003_00031_00016_png_jpg.rf.ed12e57cb9b51d5736360307a8520176__box0.jpg,608,640,612,612
test,60,50,speed-limit-60,test/images/00003_00044_00029_png_jpg.rf.92d7da7557f5226494331a0585a2fc5c.jpg,test/labels/00003_00044_00029_png_jpg.rf.92d7da7557f5226494331a0585a2fc5c.txt,crops/test/60/00003_00044_00029_png_jpg.rf.92d7da7557f5226494331a0585a2fc5c__box0.jpg,640,613,628,628
test,5,48,speed-limit-5,test/images/000_0001_j_png.rf.548c7966d15ce625b423c8f590475c94.jpg,test/labels/000_0001_j_png.rf.548c7966d15ce625b423c8f590475c94.txt,crops/test/5/000_0001_j_png.rf.548c7966d15ce625b423c8f590475c94__box0.jpg,640,601,386,386
test,5,48,speed-limit-5,test/images/000_0005_j_png.rf.b39b06a783f60a2600421d050875c3ab.jpg,test/labels/000_0005_j_png.rf.b39b06a783f60a2600421d050875c3ab.txt,crops/test/5/000_0005_j_png.rf.b39b06a783f60a2600421d050875c3ab__box0.jpg,640,593,532,532
test,5,48,speed-limit-5,test/images/000_0012_png.rf.4ba6d12d1f095c8046299de73e90072d.jpg,test/labels/000_0012_png.rf.4ba6d12d1f095c8046299de73e90072d.txt,crops/test/5/000_0012_png.rf.4ba6d12d1f095c8046299de73e90072d__box0.jpg,640,564,592,592
test,5,48,speed-limit-5,test/images/000_0015_png.rf.e16510f88c026e3e5b61d8db0b938fa2.jpg,test/labels/000_0015_png.rf.e16510f88c026e3e5b61d8db0b938fa2.txt,crops/test/5/000_0015_png.rf.e16510f88c026e3e5b61d8db0b938fa2__box0.jpg,640,562,528,528
