epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.2942,1.05231,6.79308,0.02428,0.62893,0.21569,0.22995,0.16602,1.00912,2.48764,0.02704,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362
2,86.8831,1.04152,2.05621,0.02369,0.61286,0.31696,0.37529,0.23355,1.30203,1.75343,0.0374,0.019839,0.00661301,0.019839,0.00661301,0.019839,0.00661301,0.019839,0.00661301
3,115.086,1.13444,1.74444,0.02647,0.6398,0.29244,0.36136,0.23056,1.29486,1.59256,0.03659,0.0295752,0.00985841,0.0295752,0.00985841,0.0295752,0.00985841,0.0295752,0.00985841
4,142.27,1.19617,1.63702,0.02793,0.50949,0.41295,0.46156,0.3114,1.20914,1.36655,0.03554,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,169.429,1.15738,1.47309,0.02633,0.75344,0.44222,0.54027,0.37102,1.13106,1.10593,0.03169,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,196.325,1.10486,1.32985,0.02481,0.63768,0.52567,0.58116,0.41167,1.17588,0.99187,0.03166,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,223.362,1.0717,1.22877,0.02349,0.71953,0.46854,0.59347,0.42284,1.05602,0.90644,0.02671,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,250.571,1.04302,1.16163,0.02298,0.71851,0.55537,0.65296,0.46365,1.07117,0.82893,0.02819,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,277.316,1.00498,1.09229,0.02185,0.74914,0.58388,0.65789,0.47432,1.01579,0.75029,0.02542,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,304.689,0.99297,1.04516,0.02104,0.62456,0.63825,0.68731,0.52159,0.88877,0.75828,0.02177,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
