class_id,class_name,box_count
0,accident-prone-area-warning,16
19,left-turn-only,19
24,no-left-and-right,19
32,pass-obstacle-on-either-side,20
61,village-ahead-warning,21
29,no-straight-or-left,22
35,railway-crossing-ahead-warning,24
37,right-turn-only,24
53,stop-for-inspection,24
28,no-straight,25
38,road-narrows-left-warning,26
42,sharp-right-turn-warning,26
7,chevron-left,26
15,general-warning,29
33,pass-right,31
2,bicycle-warning,33
36,reverse-turn-warning,33
20,no-cars,37
59,use-horn,37
52,steep-descent-warning,37
25,no-overtaking,40
55,straight-only,41
13,crossroad-right-warning,43
18,left-or-right,46
6,cars-only,49
44,slowdown-warning,52
43,slippery-road-warning,53
62,winding-road-warning,53
45,speed-limit-15,54
11,cow-nearby-warning,66
5,camera-operation-zone,67
57,towing-area,81
51,speed-limit-80,81
47,speed-limit-40,81
9,children-crossing-warning,82
48,speed-limit-5,84
1,bicycle-path,89
50,speed-limit-60,92
56,straight-or-right,104
46,speed-limit-30,109
49,speed-limit-50,109
41,roundabout,111
10,construction-ahead-warning,112
16,give-way,127
8,chevron-right,128
27,no-right,133
4,bus-stop,135
12,crossroad-left-warning,142
22,no-horn,143
34,pedestrian-crossing-warning,146
58,traffic-light-ahead,150
14,gated-railway-crossing-ahead-warning,155
23,no-left,166
31,parking-area,170
30,no-uturn,204
39,road-narrows-right-warning,257
17,height-limit,275
60,uturn-lane,353
21,no-entry,384
26,no-parking,435
54,stop-sign,543
3,bumps-warning,685
40,roadway-diverges-warning,1254
