epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.967,1.058,6.21371,0.02441,0.65258,0.20352,0.21315,0.15377,0.98922,2.27402,0.02612,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362
2,195.47,1.03557,1.78262,0.02351,0.57851,0.35192,0.39437,0.27598,1.06907,1.26419,0.02811,0.019839,0.00661301,0.019839,0.00661301,0.019839,0.00661301,0.019839,0.00661301
3,259.363,1.12316,1.45974,0.02591,0.6309,0.39158,0.4419,0.27744,1.30116,1.17835,0.03797,0.0295752,0.00985841,0.0295752,0.00985841,0.0295752,0.00985841,0.0295752,0.00985841
4,322.238,1.19468,1.36191,0.02799,0.66349,0.39542,0.43387,0.28766,1.23262,1.08117,0.03451,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,385.523,1.14779,1.23863,0.02594,0.6756,0.43191,0.49651,0.34074,1.13033,0.95357,0.0305,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,448.201,1.09172,1.10766,0.02447,0.61698,0.55379,0.59502,0.40789,1.12063,0.89654,0.02934,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,510.695,1.06489,1.04448,0.02332,0.78145,0.51483,0.622,0.44751,1.02527,0.68725,0.02644,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,573.549,1.04953,0.95102,0.02307,0.63846,0.5953,0.63747,0.45827,1.02842,0.72197,0.02599,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,635.992,1.00892,0.91071,0.02199,0.65793,0.62518,0.6747,0.42683,1.22173,0.71241,0.03205,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,698.795,0.98206,0.87901,0.02081,0.66013,0.59377,0.65321,0.48847,0.91549,0.69703,0.02221,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,761.132,0.96241,0.83634,0.02023,0.75171,0.65495,0.72523,0.53577,0.92451,0.60518,0.02277,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,824.25,0.94536,0.77759,0.01993,0.78944,0.63371,0.7092,0.52319,0.92532,0.58474,0.02252,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,886.148,0.93388,0.76956,0.01955,0.76475,0.67618,0.75617,0.56894,0.90197,0.56241,0.02111,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,948.998,0.90921,0.73642,0.01897,0.81874,0.6804,0.7568,0.54383,0.85413,0.5971,0.01823,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1017.03,0.90619,0.7154,0.01878,0.75432,0.7115,0.77332,0.5776,0.86927,0.51004,0.02051,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1086.48,0.88343,0.69124,0.01837,0.83859,0.67651,0.76315,0.58631,0.82059,0.55026,0.01907,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1149.79,0.89025,0.69924,0.0184,0.75196,0.68747,0.76943,0.59484,0.83968,0.55844,0.02057,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1211.77,0.88029,0.6864,0.01818,0.8464,0.72368,0.82166,0.62163,0.84229,0.47117,0.02,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1274.5,0.85987,0.65484,0.01762,0.799,0.6975,0.80049,0.59899,0.81081,0.46047,0.01758,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1336.79,0.85292,0.64732,0.01747,0.8054,0.76696,0.83501,0.65198,0.78684,0.45022,0.01836,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1399.3,0.85018,0.62023,0.0175,0.79095,0.78073,0.82053,0.64028,0.79173,0.43436,0.01832,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1462.09,0.82874,0.60105,0.01701,0.77464,0.78224,0.85591,0.66332,0.75897,0.39811,0.01693,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1525.51,0.8217,0.57808,0.01677,0.8328,0.77796,0.8658,0.68264,0.78029,0.40187,0.01755,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1588.46,0.83138,0.57629,0.01687,0.84119,0.78326,0.87587,0.70762,0.76754,0.38081,0.01816,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1650.91,0.81671,0.5795,0.01685,0.87906,0.73795,0.85409,0.65233,0.78526,0.40897,0.01784,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1713.43,0.8091,0.57041,0.01642,0.82728,0.81047,0.8614,0.67643,0.74213,0.38701,0.01693,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1775.9,0.79815,0.55632,0.01621,0.8227,0.78755,0.84686,0.65714,0.77709,0.4039,0.01725,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,1838.61,0.78506,0.55355,0.01623,0.81744,0.80138,0.8654,0.69738,0.74254,0.39588,0.01685,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,1901.01,0.7954,0.56512,0.01612,0.85449,0.80214,0.88153,0.71396,0.71642,0.35577,0.01595,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,1963.5,0.80488,0.53892,0.01636,0.88152,0.77412,0.87995,0.71302,0.73534,0.36024,0.01706,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2025.73,0.79617,0.54249,0.01611,0.87189,0.80305,0.87548,0.71209,0.71389,0.36343,0.01628,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2096.22,0.77644,0.53667,0.01567,0.83207,0.84455,0.88261,0.72574,0.7106,0.33767,0.01588,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2171.9,0.7762,0.51183,0.01571,0.87188,0.80385,0.89049,0.72638,0.70079,0.34656,0.01541,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2234.3,0.75819,0.51038,0.0153,0.8127,0.84984,0.89955,0.7366,0.70536,0.32144,0.01592,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2298.99,0.75999,0.50342,0.01517,0.81206,0.85375,0.89591,0.71907,0.71997,0.33499,0.01648,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2367.99,0.76579,0.50193,0.01522,0.88509,0.79287,0.88803,0.72546,0.71243,0.32178,0.01615,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2431.57,0.75973,0.48771,0.01547,0.82737,0.86541,0.90932,0.74383,0.69089,0.31836,0.01532,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
