class_id,class_name,train_boxes,val_boxes,test_boxes
0,accident-prone-area-warning,34,5,1
1,bicycle-path,66,16,11
2,bicycle-warning,34,4,1
3,bumps-warning,459,148,81
4,bus-stop,94,30,11
5,camera-operation-zone,70,17,11
6,cars-only,68,1,2
7,chevron-left,24,10,1
8,chevron-right,96,35,4
9,children-crossing-warning,95,33,7
10,construction-ahead-warning,76,29,12
11,cow-nearby-warning,45,21,4
12,crossroad-left-warning,102,25,15
13,crossroad-right-warning,61,4,3
14,gated-railway-crossing-ahead-warning,106,29,24
15,general-warning,31,3,4
16,give-way,95,28,13
17,height-limit,186,59,41
18,left-or-right,59,8,4
19,left-turn-only,34,3,1
20,no-cars,60,3,2
21,no-entry,275,64,38
22,no-horn,111,27,17
23,no-left,146,27,17
24,no-left-and-right,56,0,0
25,no-overtaking,53,1,2
26,no-parking,299,91,45
27,no-right,124,24,19
28,no-straight,44,1,2
29,no-straight-or-left,42,4,0
30,no-uturn,190,64,23
31,parking-area,115,36,19
32,pass-obstacle-on-either-side,38,1,2
33,pass-right,32,2,0
34,pedestrian-crossing-warning,115,43,16
35,railway-crossing-ahead-warning,53,1,0
36,reverse-turn-warning,64,8,6
37,right-turn-only,30,2,1
38,road-narrows-left-warning,68,6,3
39,road-narrows-right-warning,184,61,32
40,roadway-diverges-warning,815,292,146
41,roundabout,112,8,4
42,sharp-right-turn-warning,30,3,0
43,slippery-road-warning,42,14,9
44,slowdown-warning,51,7,1
45,speed-limit-15,59,6,11
46,speed-limit-30,148,6,3
47,speed-limit-40,90,7,1
48,speed-limit-5,89,14,9
49,speed-limit-50,98,10,3
50,speed-limit-60,104,7,17
51,speed-limit-80,115,6,1
52,steep-descent-warning,35,2,0
53,stop-for-inspection,24,7,1
54,stop-sign,352,134,67
55,straight-only,43,7,0
56,straight-or-right,98,11,3
57,towing-area,54,28,33
58,traffic-light-ahead,109,37,20
59,use-horn,40,31,2
60,uturn-lane,251,86,37
61,village-ahead-warning,27,3,0
62,winding-road-warning,44,11,4
