sha256,removed_split,kept_split,removed_image
a5f209c510dafd36053698d67977c9557e307aa63eaf4bd3128c166912c88fd2,train,val,P1830949_2_jpg.rf.75b12d55cdb9770331470bf6a78e7fe5.jpg
c8536eb59c289748ce2c0a4f4cb9da90acdc26fdcd179a6386c9298128211fdf,train,val,P1830979_2_jpg.rf.a251912895ffb18128a0e80b1ca2b3a1.jpg
c8536eb59c289748ce2c0a4f4cb9da90acdc26fdcd179a6386c9298128211fdf,train,val,P1830979_2_jpg.rf.44d76c7685c40351585b112e0426f9ec.jpg
19e385f7c9f74b44b9a9e59fd4d903ed194d21934803ee0a46c11143c913dd27,train,test,P1840119_7_jpg.rf.9f88c2bcc78c323146135e2f8b998094.jpg
19e385f7c9f74b44b9a9e59fd4d903ed194d21934803ee0a46c11143c913dd27,train,test,P1840119_7_jpg.rf.d17e758eb4241eb32cf0026a5f4d4b38.jpg
359ea49ea3b447652ca185d1c3ae918eb8bc5250b30542036ab9c62ed647b282,train,val,P1840604_1_jpg.rf.9d7bc82c29f6d7de076bbcc7511f6935.jpg
da647809aa75ab3cd9e5afd1bcd7f6ceb19ee2b801998ed9da1f956eee055120,train,val,P1840273_1_jpg.rf.259ec7f0a5d99a5b5b9de5ca3ddf0b36.jpg
36b13ddb6fc8fac81120b3d17792890f64ec7b453c767ef0b166341cdf185475,train,val,P1840120_4_jpg.rf.2918391da73f02fd346f3e63518e2f19.jpg
36b13ddb6fc8fac81120b3d17792890f64ec7b453c767ef0b166341cdf185475,train,val,P1840120_4_jpg.rf.83cb2b600c16b2cb640b55c96266d1a2.jpg
75e3f5676330d8f1db0efebdf6de6e668ec614dc9edfe278b8aaea2e72ec65ba,train,val,P1830980_1_jpg.rf.1ddf7b15f49405a15a16d37af30aac36.jpg
bf1a37bfc8015f0a5d65c7e08f7593365c5f978d245a1877addc5971d610c0aa,train,test,P1840102_3_jpg.rf.f5e81774a45c20ec8009b6b0048d71f2.jpg
0851b399113caa692ace51a2f6e67ac68d27abff51f28fd29899e317ecc8e5c7,train,test,P1840120_5_jpg.rf.bb6b618fd0203bdca7b8a158e5019352.jpg
0851b399113caa692ace51a2f6e67ac68d27abff51f28fd29899e317ecc8e5c7,train,test,P1840120_5_jpg.rf.797441d2de1598cb16efe93aa9db583e.jpg
37c6cb2bee0a1c9a6707dec54677f15774ec03825802124d1c560197db3cbf21,train,val,P1840121_1_jpg.rf.0513da9de8296eefc8ccf78388ddea50.jpg
640c79a394fcac6b34bc03da403411405cf9b5b35a49feafcb5908e67b7fb395,train,val,C-23-_jpg.rf.57579460e299f371ceb11fee044c1563.jpg
ad267426d42ee512810b0967f6e3c4f6a1a0377b238996e101a222956ef8a30a,train,val,C-22-_jpg.rf.2afeaac28400cde442d09983f3727a38.jpg
